Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender,Month,Trip Week
1500,2020-04-01 13:08:49.412,2020-04-01 13:33:50.208,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,42527,Customer,1987,2,April,Wednesday
2495,2020-04-01 13:09:36.444,2020-04-01 13:51:12.326,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3192,Liberty Light Rail,40.711242299999995,-74.0557013,42528,Subscriber,1970,1,April,Wednesday
696,2020-04-01 13:10:09.861,2020-04-01 13:21:46.181,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,42109,Subscriber,1986,2,April,Wednesday
5646,2020-04-01 13:10:32.130,2020-04-01 14:44:38.339,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3192,Liberty Light Rail,40.711242299999995,-74.0557013,42568,Customer,1988,2,April,Wednesday
1748,2020-04-01 13:12:42.947,2020-04-01 13:41:51.332,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,39059,Subscriber,1993,2,April,Wednesday
1738,2020-04-01 13:12:53.917,2020-04-01 13:41:52.558,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,42191,Customer,1989,2,April,Wednesday
5491,2020-04-01 13:13:30.470,2020-04-01 14:45:02.432,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3192,Liberty Light Rail,40.711242299999995,-74.0557013,42199,Customer,1986,1,April,Wednesday
553,2020-04-01 13:13:43.995,2020-04-01 13:22:57.022,3187,Warren St,40.721123600000006,-74.03805095,3483,Montgomery St,40.71942,-74.05099,42342,Subscriber,1994,1,April,Wednesday
540,2020-04-01 13:13:50.653,2020-04-01 13:22:50.729,3187,Warren St,40.721123600000006,-74.03805095,3483,Montgomery St,40.71942,-74.05099,42373,Subscriber,1993,1,April,Wednesday
179,2020-04-01 13:14:03.213,2020-04-01 13:17:02.877,3279,Dixon Mills,40.72163014263835,-74.04996782541275,3186,Grove St PATH,40.71958611647166,-74.0431174635887,42370,Subscriber,1986,1,April,Wednesday
478,2020-04-01 13:14:04.723,2020-04-01 13:22:03.293,3187,Warren St,40.721123600000006,-74.03805095,3483,Montgomery St,40.71942,-74.05099,42629,Customer,1969,0,April,Wednesday
119,2020-04-01 13:14:30.472,2020-04-01 13:16:29.888,3273,Manila & 1st,40.72165072487999,-74.04288411140442,3187,Warren St,40.721123600000006,-74.03805095,42372,Subscriber,1983,1,April,Wednesday
2689,2020-04-01 13:14:50.613,2020-04-01 13:59:40.340,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3213,Van Vorst Park,40.71848892,-74.047726625,42581,Customer,1990,2,April,Wednesday
2562,2020-04-01 13:17:10.221,2020-04-01 13:59:53.175,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3213,Van Vorst Park,40.71848892,-74.047726625,42136,Customer,1969,0,April,Wednesday
75,2020-04-01 13:17:27.941,2020-04-01 13:18:43.285,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,3211,Newark Ave,40.72152515,-74.046304543,42224,Subscriber,1985,1,April,Wednesday
352,2020-04-01 13:17:42.957,2020-04-01 13:23:35.824,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,3639,Harborside,40.71925170000001,-74.034234,42295,Subscriber,1981,2,April,Wednesday
184,2020-04-01 13:18:43.660,2020-04-01 13:21:48.555,3213,Van Vorst Park,40.71848892,-74.047726625,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,42566,Subscriber,1968,1,April,Wednesday
5449,2020-04-01 13:19:05.475,2020-04-01 14:49:54.492,3184,Paulus Hook,40.7141454,-74.0335519,3184,Paulus Hook,40.7141454,-74.0335519,42318,Customer,1999,2,April,Wednesday
2313,2020-04-01 13:20:25.541,2020-04-01 13:58:59.426,3209,Brunswick St,40.7241765,-74.05065640000001,3209,Brunswick St,40.7241765,-74.05065640000001,34386,Subscriber,1993,2,April,Wednesday
2250,2020-04-01 13:21:25.282,2020-04-01 13:58:55.642,3209,Brunswick St,40.7241765,-74.05065640000001,3209,Brunswick St,40.7241765,-74.05065640000001,39992,Customer,1969,0,April,Wednesday
709,2020-04-01 13:24:30.681,2020-04-01 13:36:20.201,3694,Jackson Square,40.71113,-74.0789,3195,Sip Ave,40.73089709786179,-74.06391263008119,42220,Subscriber,1969,1,April,Wednesday
466,2020-04-01 13:26:05.348,2020-04-01 13:33:51.945,3209,Brunswick St,40.7241765,-74.05065640000001,3639,Harborside,40.71925170000001,-74.034234,38358,Subscriber,1986,1,April,Wednesday
2897,2020-04-01 13:27:06.076,2020-04-01 14:15:23.785,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42206,Customer,1969,0,April,Wednesday
2437,2020-04-01 13:27:07.003,2020-04-01 14:07:44.646,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42414,Customer,1969,0,April,Wednesday
